               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.02706,            0.020902,           0.0027833,             0.95838,             0.93197,             0.96661,              0.7504,             0.02378,            0.012164,           0.0017937,           0.0095248,           0.0095248,           0.0095248
                  50,            0.028315,            0.024147,           0.0030978,             0.93822,              0.9554,             0.96994,             0.71929,            0.022928,             0.01209,           0.0017988,           0.0095149,           0.0095149,           0.0095149
                  51,            0.026134,            0.022443,           0.0023771,             0.94432,             0.95116,             0.96034,             0.77362,            0.021389,            0.011815,            0.001803,            0.009505,            0.009505,            0.009505
                  52,            0.025399,            0.021702,           0.0029798,             0.91306,             0.94797,             0.97096,             0.72131,             0.02254,            0.011983,           0.0020431,           0.0094951,           0.0094951,           0.0094951
                  53,            0.027141,            0.021954,           0.0028035,             0.90944,             0.95995,             0.97468,              0.7099,            0.025705,            0.012025,           0.0021226,           0.0094852,           0.0094852,           0.0094852
                  54,            0.026756,            0.021082,           0.0028619,             0.94586,             0.95706,               0.974,             0.73141,            0.020367,            0.011879,           0.0018071,           0.0094753,           0.0094753,           0.0094753
                  55,            0.025315,            0.021367,           0.0035458,             0.97578,             0.94152,             0.97021,             0.74684,            0.020343,            0.011696,           0.0017438,           0.0094654,           0.0094654,           0.0094654
                  56,            0.025849,            0.021391,           0.0025685,             0.95251,             0.94315,             0.96914,              0.7327,            0.022017,            0.012141,           0.0023125,           0.0094555,           0.0094555,           0.0094555
                  57,            0.025517,            0.022836,           0.0025439,               0.948,             0.93468,              0.9712,             0.75158,            0.019683,            0.011222,           0.0022555,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027268,            0.021962,           0.0026635,             0.92332,             0.97069,             0.97975,             0.74546,            0.021771,            0.011402,           0.0017343,           0.0094357,           0.0094357,           0.0094357
                  59,            0.024608,            0.023223,           0.0031467,              0.9267,             0.96281,             0.97871,             0.78068,            0.019892,            0.010969,           0.0017232,           0.0094258,           0.0094258,           0.0094258
                  60,            0.026163,            0.020615,           0.0025335,             0.92053,             0.94039,             0.97014,             0.75737,            0.019794,            0.011409,           0.0016911,           0.0094159,           0.0094159,           0.0094159
                  61,            0.024961,            0.022048,           0.0027674,             0.92298,             0.93567,             0.96137,             0.75246,            0.020201,            0.011258,           0.0019776,            0.009406,            0.009406,            0.009406
                  62,            0.025043,            0.020429,           0.0027785,             0.91552,             0.93766,             0.97104,             0.73058,            0.022058,            0.011668,           0.0019629,           0.0093961,           0.0093961,           0.0093961
                  63,            0.026075,              0.0207,           0.0030128,             0.93565,             0.94797,             0.97133,             0.79231,             0.01936,             0.01122,           0.0017687,           0.0093862,           0.0093862,           0.0093862
                  64,            0.024375,            0.021111,           0.0029007,             0.92755,             0.93438,             0.96949,             0.72344,            0.020246,            0.011588,           0.0016621,           0.0093763,           0.0093763,           0.0093763
                  65,            0.025142,            0.021333,           0.0024411,             0.94671,             0.93073,              0.9591,             0.76201,            0.018944,             0.01124,           0.0017372,           0.0093664,           0.0093664,           0.0093664
                  66,            0.024886,            0.021507,           0.0019751,             0.91001,             0.94039,             0.95203,             0.74276,            0.025047,            0.012204,           0.0017134,           0.0093565,           0.0093565,           0.0093565
                  67,            0.024504,            0.021214,           0.0028921,             0.94497,             0.93766,             0.95747,             0.76389,             0.01906,            0.011509,           0.0016953,           0.0093466,           0.0093466,           0.0093466
                  68,            0.023639,            0.020835,           0.0036157,             0.95051,             0.93119,             0.95801,               0.746,            0.022358,            0.011941,           0.0018674,           0.0093367,           0.0093367,           0.0093367
                  69,            0.024829,            0.021443,           0.0027637,             0.95843,             0.93899,             0.97265,             0.75271,            0.019321,            0.011332,           0.0018825,           0.0093268,           0.0093268,           0.0093268
                  70,            0.024297,            0.020626,           0.0027934,             0.95859,             0.94189,             0.97634,             0.76955,            0.020566,             0.01175,           0.0019971,           0.0093169,           0.0093169,           0.0093169
                  71,             0.02337,            0.020846,           0.0025368,             0.96608,             0.93352,              0.9752,             0.76546,            0.018427,            0.010892,           0.0018759,            0.009307,            0.009307,            0.009307
                  72,            0.023304,            0.022241,             0.00224,             0.95909,             0.94398,             0.97669,             0.72203,            0.020619,            0.011411,           0.0014327,           0.0092971,           0.0092971,           0.0092971
                  73,            0.023155,             0.02206,           0.0022036,             0.95188,             0.94994,             0.97744,             0.78941,             0.01696,            0.011227,           0.0013699,           0.0092872,           0.0092872,           0.0092872
                  74,            0.023909,            0.020517,           0.0027411,              0.9235,             0.95748,             0.96856,              0.7593,            0.020357,            0.011737,           0.0015519,           0.0092773,           0.0092773,           0.0092773
